Device label,Model,Serial number,Sku number,Manufacturer,NMC Firmware version,IP Address,Location,UPS Score,Score rating,UPS from YYYY-MM,Battery from YYYY-MM,Battery Temperature (avg 24h deg C),External Battery Sku number,Internal Battery Sku number,Output Load (avg 24h in %),Load (min 30 days in %),Load (average 30 days in %),Load (max 30 days in %),Recommendation,Projected health,Projected health at optimal temperature
2829863D10F6,Smart-UPS 1000,3S2029X16956,SMT1000RM2UC,APC,,10.45.146.89,,,,,,,,,,,,,,,
Coachella-UPS-MDF,Smart-UPS 2200,AS2216265968,SMT2200RM2UNC,APC,v2.0.0.6,10.47.99.162,,77.4,Good,2022-04,2023-07,20.617957746478837,,RBC43,17.588719621519704,17.0,17.58482917748232,17.6,,,
GLCCD-ALPINA-UPS-MDF,Smart-UPS 1500,AS2303165901,SMT1500RM2UCNC,APC,v2.0.0.6,10.45.74.252,GLCCD Alpena,,,,,21.861256544502627,,APCRBC133,,8.7,12.297123424881923,12.7,,2028-09-21,2028-09-21
GLCCD-ALSIP-PR-UPS-MDF-Top,Smart-UPS 1500,AS2046233153,SMT1500RM2UNC,APC,v1.1.0.16,10.45.243.125,GLCCD Alsip,,,,,20.1,,APCRBC133,,,,,,2026-04-23,2026-04-23
GLCCD-AlsipDC-UPS-MDF-CORE,Smart-UPS 3000,AS2110155190,SMT3000RM2UNC,APC,v1.3.3.1,10.20.144.228,GLCCD Alsip,54.24,Average,2021-03,2021-03,21.3329824561404,,RBC43,12.39717393573223,11.7,12.436870282370247,13.6,,2026-07-11,2026-07-11
GLCCD-AlsipDC-UPS-MDF-DMARK,Smart-UPS 750,AS2122214836,SMT750RM2UNC,APC,v1.3.3.1,10.20.144.230,GLCCD Alsip,64.04,Average,2021-06,2021-06,23.532517482517598,,RBC123,56.32067514461587,53.3,55.798320084023416,57.2,,2026-02-24,2026-02-24
GLCCD-AlsipDC-UPS-MDF-NVR-Bottom,Smart-UPS 3000,AS2237258276,SMT3000RM2UNC,APC,v2.0.0.6,10.20.144.229,GLCCD Alsip,80.34,Good,2022-09,2023-08,20.05540069686416,,RBC43,17.51530595682518,10.4,15.69796941054543,19.6,,2027-10-20,2027-10-20
GLCCD-AlsipDC-UPS-MDF-NVR-TOP,Smart-UPS 1000,3S2111X17138,SMT1000RM2UC,APC,v7.1.2,10.20.144.168,GLCCD Alsip,55.77,Average,2021-03,2021-03,25.45754385964912,,APCRBC132,40.946007980548885,40.1,40.93737027256932,42.4,Lower the battery temperature to 25 degrees C,2025-10-02,2025-11-08
GLCCD-AlsipDC-UPS-MDF-SW1,Smart-UPS 3000,AS2110155187,SMT3000RM2UNC,APC,v1.3.3.1,10.20.145.45,GLCCD Alsip,60.12,Average,2021-03,2021-09,20.209090909091007,,RBC43,19.205037371805975,18.2,19.055076302294374,20.1,,2026-08-16,2026-08-16
GLCCD-AlsipDC-UPS-SW2-WH-CENTRAL,Smart-UPS 750,AS2102143526,SMT750RM2UNC,APC,v1.3.3.1,10.20.145.234,GLCCD Alsip,16.87,Poor,2021-01,2021-01,36.93298245614026,,RBC123,38.60011171884101,35.7,38.297542393121915,42.9,Lower the battery temperature to 25 degrees C,,
GLCCD-AlsipDC-UPS-SW4-WH-Office,Smart-UPS 1500,AS2303165903,SMT1500RM2UCNC,APC,v2.0.0.6,10.20.144.186,GLCCD Alsip,63.48,Average,2023-01,2023-04,30.18811188811188,,APCRBC133,35.672389920332144,33.6,35.31272259203357,36.4,Lower the battery temperature to 25 degrees C,2027-01-03,2028-03-19
GLCCD-AlsipDC-UPS-SW5-ExecCloset,Smart-UPS 750,AS1740231596,SMT750RM2UNC,APC,v6.5.0,10.20.145.107,GLCCD Alsip,,,,,24.599999999999945,,RBC123,,,,,,,
GLCCD-AlsipPC-UPS-SW5-ASRS,Smart-UPS 750,AS2102143523,SMT750RM2UNC,APC,v1.3.3.1,10.45.243.141,GLCCD Alsip,52.55,Average,2021-01,2021-01,27.010877192982488,,RBC123,27.88742694127477,27.3,27.883992237368634,27.9,Lower the battery temperature to 25 degrees C,2025-10-03,2026-01-30
GLCCD-AlsipPR-UPS-MDF-Bottom,Smart-UPS 3000,AS2237364614,SMT3000RM2UNC,APC,v2.0.0.6,10.45.243.228,GLCCD Alsip,84.25,Good,2022-09,2023-08,18.595438596491228,,RBC43,28.06397013644951,26.7,27.979937074886465,30.6,,2027-04-09,2027-04-09
GLCCD-AlsipPR-UPS-MDF-Top,Smart-UPS 2200,AS2345163665,SMT2200RM2UNC,APC,v2.0.0.6,10.45.242.99,GLCCD Alsip,89.83,Good,2023-11,2023-11,18.53066202090593,,RBC43,42.60434142666739,39.7,42.71296446857343,49.4,,2027-11-13,2027-11-13
